word	cefr	allOxfordLevels	surfaceForms	matchedSpeeches	uncoveredSpeeches	coveringLemmas	firstSpeechId	firstContext
after	A2	A1/A2	after	12	5	after all | look after	act2-speech-0060	With one finger so...And then I hear the radio ― playing very loud ― someone is shouting on it. It offended my ears. And after that ― suddenly ― I hear Mrs. Ralston scream.
age	B1	A1/B1	age	4	3	much of an age	act2-speech-0095	But you know pretty well who killed that woman in Culver Street. You think it's the eldest of those three children at the farm. A mentally abnormal young man who is now twenty-three years of age. Well, damn it 
aged	B1	B1	aged	2	0	middle-aged	act2-speech-0132	So the murderer may be middle-aged, or even old. When I said the police had rung up, Major Metcalf was frightfully upset. He really was. I saw his face.
alive	A2	A2	alive	1	1		act2-speech-0123	He was an Army sergeant, serving abroad. If he's alive, he's probably discharged from the Army by now.
all	A2	A1/A2	all	64	55	after all | all along | all of a sudden | all the same | all to no avail	act2-speech-0082	Not at all. Crypt of an old monastery, I should say. Probably why this place is called "Monkswell."
any	A2	A1/A2	any	14	12	by any chance | do harm	act2-speech-0073	And yet there doesn't seem to be any unfinished letter on the writing desk in the library.
anywhere	A2	A2	anywhere	1	1		act2-speech-0186	If only I could get away. Somehow ― some way. Is there anywhere I could hide ― in the house?
argue	A2	A2	argue	1	1		act2-speech-0459	No, I don't think we'll argue about it.
arrest	B1	B1	arrest, arresting	3	2	under arrest	act2-speech-0100	Tell him you're not going to arrest him.
as	A2	A1/A2	as	24	14	as a result | as though | as to | blind as a bat | go on as usual | look as though | mad as a hatter | such as	act2-speech-0092	Mr. Ralston! Thank you. We've got to establish opportunity, you know, as well as motive. And now let me tell you this ― you all had opportunity. There are two staircases ― anyone could go up by one and come dow
aside	B2	B2	aside	1	0	put aside	act2-speech-0584	That's not true. I was ill. I went down with pneumonia that very day. The letter was put aside with others. It was weeks afterwards that I found it with a lot of other letters. And by then that poor child was d
attention	A2	A2	attention	2	0	pay attention	act2-speech-0517	Sit down, Miss Casewell, Mrs. Ralston... Will you all pay attention, please? You may remember that after the murder of Mrs. Boyle, I took statements from you all. Those statements related to your positions at t
back	A2/B2	A1/A2/B2	back	5	3	back stairs	act2-speech-0171	Bring it back with him?
bat	B2/C1	B2/C1	bat	1	0	blind as a bat	act2-speech-0498	I've seen something I ought to have seen before. Blind as a bat, I've been. But I think now we may be able to get somewhere.
before	A2	A1/A2	before	12	11	just before	act2-speech-0077	Perhaps not. You know if I were to hear someone screaming blue murder when I was writing a letter, I don't believe I'd take the time to pick up my unfinished letter, fold it and put it in my handbag before goin
being	B2	B2	being	6	5	fancy someone doing something | fancy someone's doing	act2-speech-0128	If he came home, after being a prisoner with the Japs, perhaps, and having suffered terribly ― if he came home and found his wife dead and that his children had gone through some terrible experience, and one of
best	A2	A1/A2	best	1	0	for best	act2-speech-0632	Just for best.
better	A2/B1	A1/A2/B1	better	4	1	had better	act2-speech-0372	Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know w
between	A2	A1/A2	between	4	4		act2-speech-0221	I don't know. I suppose there's a sort of ― sympathy between us.
bill	B2	A1/B2	bill	4	0	fit the bill	act2-speech-0095	But you know pretty well who killed that woman in Culver Street. You think it's the eldest of those three children at the farm. A mentally abnormal young man who is now twenty-three years of age. Well, damn it 
bound	B2	B2	bound	1	0	be bound for	act2-speech-0392	That rather depends on the way you're looking at it. Just where were you bound for, by the way, when you had this ― accident?
broken	A2	A2	broken	1	1		act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his A
burn	A2/B2	A2/B2	burning	1	0	smell of burning	act2-speech-0637	Mrs. Ralston! Mrs. Ralston! There's a terrible smell of burning coming from the kitchen.
but	B2	A1/B2	but	44	44		act2-speech-0086	Mine are there all right. But most criminals are careful to wear gloves, aren't they?
by	B1	A1/B1	by	18	14	by any chance | by the way | go by probability	act2-speech-0092	Mr. Ralston! Thank you. We've got to establish opportunity, you know, as well as motive. And now let me tell you this ― you all had opportunity. There are two staircases ― anyone could go up by one and come dow
can	A2	A1/A2	can	29	28	make someone out	act2-speech-0103	Wait, Giles, wait. Sergeant Trotter, can I ― can I speak to you a minute?
cancel	B2	B2	cancelled	1	0	cancel out	act2-speech-0372	Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know w
careful	A2	A2	careful	1	1		act2-speech-0086	Mine are there all right. But most criminals are careful to wear gloves, aren't they?
