word	cefr	allOxfordLevels	surfaceForms	coveringLemmas	firstSpeechId	firstContext
unfortunately	A2	A2	unfortunately		act2-speech-0558	There is a point. It is a means of checking up on the original statements, and maybe one statement in particular. Now then, will you all pay attention, please. I will assign each of you your new stations. Mr. Wren, will you kindly
upstairs	A2	A1/A2	upstairs		act2-speech-0061	Mr. Ralston upstairs. Mr. Wren upstairs. Mr. Paravicini in drawing room. Miss Casewell?
used	B1	B1	used		act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parent
very	B2	A1/B2	very	be fond of | wide field	act2-speech-0060	With one finger so...And then I hear the radio ― playing very loud ― someone is shouting on it. It offended my ears. And after that ― suddenly ― I hear Mrs. Ralston scream.
wait	A2	A1/A2	wait, waiting		act2-speech-0103	Wait, Giles, wait. Sergeant Trotter, can I ― can I speak to you a minute?
war	A2	A2	war, waring		act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parent
way	B2	A1/B2	way	by the way | depend on how one looks at it | on one’s way | out-of-the-way | point one way | usual	act2-speech-0117	I'm going by probability. It all points one way; mental instability, childish mentality, desertion from the Army and the psychiatrist's report.
well	C1	A1/C1	well		act2-speech-0059	Well, go on, you were playing the piano.
wheel	A2	A2	wheel	spare wheel	act2-speech-0620	I gather they'll examine that car of his rather carefully. I shouldn't be surprised if they found a thousand or so Swiss watches in the spare wheel. Yes, that's his line of business, nasty little bit of goods. Mollie, I believe yo
wide	A2	A2	wide	wide field	act2-speech-0147	She looks a bit old for the part. Oh yes, Mrs. Ralston, there's a very wide field. There's yourself, for instance.
worry	A2/B1	A2/B1	worry, worrying		act2-speech-0257	I tell you I'm worrying about my wife's safety.
written	B1	B1	written		act2-speech-0616	As soon as we got hold of that notebook with "Monkswell Manor" written in it, we saw it was vital to have someone on the spot. When it was put to him, Major Metcalf agreed to let me take his place. I couldn't understand it when Tr
wrong	B1/B2	A1/B1/B2	wrong		act2-speech-0160	Yes ― but oh, you make it sound all wrong. His father was a barrister and his mother died when he was a baby.
young	B1	A1/B1	young, younger		act2-speech-0095	But you know pretty well who killed that woman in Culver Street. You think it's the eldest of those three children at the farm. A mentally abnormal young man who is now twenty-three years of age. Well, damn it all, there's only on
