word	cefr	allOxfordLevels	surfaceForms	coveringLemmas	firstSpeechId	firstContext
especially	A2	A2	especially		act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parent
even	B2	A1/B2	even, evening	Evening News | evening paper	act2-speech-0112	You don't even know that. It may have been just the snow.
exactly	A2	A2	exactly		act2-speech-0168	That's not true. I know everything about him! I know exactly the sort of person he is. He's Giles. And it's absolutely absurd to suggest that he's some horrible crazy homicidal maniac. Why, he wasn't even in London yesterday when 
fair	A2	A2	fair		act2-speech-0102	I think you're crazy, Mollie. And you, too! There's just one person who fits the bill and, if only as a safety measure, he ought to be put under arrest. It's only fair to the rest of us.
far	B1	A1/B1	far		act2-speech-0111	We don't actually know a thing. All we've got so far is that the woman who joined with her husband in ill-treating and starving those children has been killed, and that the woman magistrate who was responsible for placing them the
fat	A2	A1/A2	fat		act2-speech-0594	Georgie, Georgie, you know me, don't you? Don't you remember the farm, Georgie? The animals, that fat old pig, and the day the bull chased us across the field. And the dogs.
feel	B2	A1/B2	feel, felt		act2-speech-0145	It could have been a woman who killed Maureen Lyon. A woman. The muffler pulled up and the man's felt that pulled well down, and the killer whispered, you know. It's the voice that gives the sex away. Yes, it might have been a wom
financial	B1	B1	financial	as to | financial position	act2-speech-0465	My bank will reassure you as to my financial position. I can also refer you to a solicitor ― a very discreet man. I am not in a position to offer you a social reference. I have lived most of my life abroad.
finish	A2	A1/A2	finished		act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parent
first	A2	A1/A2	first		act2-speech-0272	Perhaps you'd met him before. Perhaps you suggested to him to come here and that you'd both pretend to meet for the first time. All cooked up between you, was it?
fortunately	A2	A2	fortunately		act2-speech-0618	Yes, it seems she recognized him just before this last business. Didn't know what to do, but fortunately came to me about it, just in time. Well, it's started to thaw, help should be here pretty soon. Oh, by the way, Mrs. Ralston,
found	B2	B2	found		act2-speech-0113	No, Mrs. Ralston, the line was deliberately cut. It was cut just outside by the front door. I found the place.
frightening	B1	B1	frightening		act2-speech-0380	Stop frightening my wife at once.
fun	A2	A1/A2	fun	fun and games | innocent fun	act2-speech-0309	All right then, I'm crazy! Why not? Perhaps it's fun to be crazy!
go	B1	A1/B1	go, gone, went	go down to | go down with | go into | go into something | go off | go off one's head | go on | go on as usual | go out of one’s mind | go through | go up	act2-speech-0059	Well, go on, you were playing the piano.
good	A2	A1/A2	good	Good Lord | a good deal | no good | no good doing something	act2-speech-0242	Good Lord, Mollie. Surely you don't think ― the Sergeant doesn't think...
goods	B1	B1	goods	a bit of goods | bit of goods	act2-speech-0620	I gather they'll examine that car of his rather carefully. I shouldn't be surprised if they found a thousand or so Swiss watches in the spare wheel. Yes, that's his line of business, nasty little bit of goods. Mollie, I believe yo
grand	B2	B2	grand	grand piano	act2-speech-0423	Thank you so much. I shall go and look for your skis in the drawing room. Just in case someone has hidden them in the grand piano.
grant	B2	B2	grant	grant someone that	act2-speech-0365	Yes, yes, I grant you that. If I wanted to, that is.
hate	B1	A1/B1	hate, hated		act2-speech-0204	We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother..
have	A2	A1/A2	had, have, having	had better	act2-speech-0092	Mr. Ralston! Thank you. We've got to establish opportunity, you know, as well as motive. And now let me tell you this ― you all had opportunity. There are two staircases ― anyone could go up by one and come down by the other. Anyo
head	B1	A1/B1	head	go off one's head | put something into someone's head	act2-speech-0128	If he came home, after being a prisoner with the Japs, perhaps, and having suffered terribly ― if he came home and found his wife dead and that his children had gone through some terrible experience, and one of them had died throu
his	A2	A1/A2	his	go off one's head | line of business | on one’s way | take someone’s place	act2-speech-0128	If he came home, after being a prisoner with the Japs, perhaps, and having suffered terribly ― if he came home and found his wife dead and that his children had gone through some terrible experience, and one of them had died throu
hook	B2/C1	B2/C1	hooked	hook it	act2-speech-0330	So our young architect has hooked it, has he? Very, very interesting.
hope	A2	A1/A2	hope, hoping		act2-speech-0311	Now, now. I do hope you young people are not both saying a little more than you mean. One is so apt to in these lovers' quarrels.
house	B2	A1/B2	house		act2-speech-0186	If only I could get away. Somehow ― some way. Is there anywhere I could hide ― in the house?
