word	cefr	allOxfordLevels	surfaceForms	coveringLemmas	firstSpeechId	firstContext
nasty	B2	B2	nasty	a bit of goods	act2-speech-0589	You'd better not scream, Mrs. Ralston ― because if you do I shall fire this revolver...I'd like to talk to you a little. I said I'd like to talk to you a little. Jimmy died. That nasty cruel woman killed him. They put her in priso
necessarily	B1	B1	necessarily	not necessarily	act2-speech-0520	Not necessarily. Someone may have lied ― for some other reason.
need	A2/B1	A1/A2/B1	need, needs		act2-speech-0324	The snow is still lying. I need help here, reinforcements. I was going to ski over to the police station at Market Hampton to report on the situation.
negative	B2	A1/B2	negative	prove a negative	act2-speech-0377	He is very wise. Take no chances. Can I prove to you or to him or to our dogged Sergeant that I am not a homicidal maniac? So difficult to prove a negative. And suppose that instead I am really...
net	B1/C1	B1/C1	netting	wire netting	act2-speech-0170	He went across country to a sale to get some wire netting for our chickens.
next	B1	A1/B1	next		act2-speech-0251	You keep away from my wife, Wren. She's not going to be the next victim.
none	A2	A2	none	none of someone's business | none of your business	act2-speech-0076	That's none of your damned business.
normal	A2/B1	A2/B1	normal		act2-speech-0134	Middle-aged. A soldier. He seems quite nice and perfectly normal ― but it mightn't show, might it?
now	B1	A1/B1	now		act2-speech-0079	Now, Major Metcalf, what about you? You say you were in the cellar. Why?
offer	A2	A2	offer		act2-speech-0465	My bank will reassure you as to my financial position. I can also refer you to a solicitor ― a very discreet man. I am not in a position to offer you a social reference. I have lived most of my life abroad.
once	B1	A1/B1	once	at once	act2-speech-0067	At once.
operation	B1	B1	operation	co-operation	act2-speech-0509	I'm sorry, but I want co-operation and I intend to get it. Mr. Ralston, will you go and ask Miss Casewell to come down again? She went up in her room. Tell her it will only be for a few minutes.
outside	A2	A1/A2	outside	just outside | outside world	act2-speech-0113	No, Mrs. Ralston, the line was deliberately cut. It was cut just outside by the front door. I found the place.
own	A2	A1/A2	own	of one's own knowledge | reproduce | settle one’s own affairs	act2-speech-0163	You don't know it of your own knowledge.
particular	A2	A2	particular	in particular	act2-speech-0083	We're not engaged in antiquarian research, Major Metcalf. We're investigating a murder. Mrs. Ralston has told us that she heard a door shut with a faint creak. That particular door shuts with a creak. It could be, you know, that a
pass	A2/B1	A2/B1	passed	pass through	act2-speech-0352	Then you passed the cupboard door.
pay	A2	A1/A2	pay	pay attention	act2-speech-0517	Sit down, Miss Casewell, Mrs. Ralston... Will you all pay attention, please? You may remember that after the murder of Mrs. Boyle, I took statements from you all. Those statements related to your positions at the time the murder w
perform	A2	A2	performed		act2-speech-0548	The same actions will be performed, yes.
pick	A2/B2	A2/B2	pick, picked	pick out a tune | pick up	act2-speech-0077	Perhaps not. You know if I were to hear someone screaming blue murder when I was writing a letter, I don't believe I'd take the time to pick up my unfinished letter, fold it and put it in my handbag before going to see what was th
plain	B2	B2	plain	Spot and Plain	act2-speech-0596	Yes, Spot and Plain.
planning	B1	B1	planning		act2-speech-0370	I'm in the position now where I've got to put myself in the place of a crazy cunning brain. I've got to ask myself what he wants us to do and what he, himself, is planning to do next. I've got to try and keep just one step ahead o
please	A2	A1/A2	please		act2-speech-0090	Please, Mr. Ralston, I'm in charge of this investigation.
pleased	A2	A2	pleased		act2-speech-0566	Yes, what is it? You're looking very pleased with yourself. Have you got what you wanted?
pocket	A2	A2	pocket	overcoat pocket	act2-speech-0235	What is it? Yesterday's evening paper ― a London paper. And it was in Giles's pocket. But Giles didn't go to London yesterday.
possibility	A2	A2	possibilities, possibility		act2-speech-0118	Oh, I know, and therefore it all seems to point to Christopher. But I don't believe it is Christopher. There must be other possibilities.
probability	B2	B2	probability	go by probability	act2-speech-0117	I'm going by probability. It all points one way; mental instability, childish mentality, desertion from the Army and the psychiatrist's report.
pull	A2/B1	A2/B1	pulled, pulling		act2-speech-0083	We're not engaged in antiquarian research, Major Metcalf. We're investigating a murder. Mrs. Ralston has told us that she heard a door shut with a faint creak. That particular door shuts with a creak. It could be, you know, that a
queen	A2	A2	queen	Red Queen	act2-speech-0495	What can't you believe? Six impossible things before breakfast, like the Red Queen?
question	A2	A1/A2	question, questions		act2-speech-0243	I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a
racing	B1	B1	racing		act2-speech-0286	Whilst I was safely away racing round the countryside.
realize	A2	A2	realize, realized		act2-speech-0364	You realize that you, yourself, had an excellent opportunity of taking them?
refer	A2	A2	refer	refer someone to	act2-speech-0465	My bank will reassure you as to my financial position. I can also refer you to a solicitor ― a very discreet man. I am not in a position to offer you a social reference. I have lived most of my life abroad.
related	B1	B1	related	relate to	act2-speech-0517	Sit down, Miss Casewell, Mrs. Ralston... Will you all pay attention, please? You may remember that after the murder of Mrs. Boyle, I took statements from you all. Those statements related to your positions at the time the murder w
repeat	B1	A1/B1	repeat	repeat performance	act2-speech-0529	You want ― a repeat performance?
research	A2	A2	research	antiquarian research	act2-speech-0083	We're not engaged in antiquarian research, Major Metcalf. We're investigating a murder. Mrs. Ralston has told us that she heard a door shut with a faint creak. That particular door shuts with a creak. It could be, you know, that a
rest	A2	A2	rest		act2-speech-0102	I think you're crazy, Mollie. And you, too! There's just one person who fits the bill and, if only as a safety measure, he ought to be put under arrest. It's only fair to the rest of us.
result	B1	A1/B1	result	as a result	act2-speech-0573	Yes, you've been extraordinary foolish, you know. You've run a very good chance of being killed by holding out on me. As a result, you've been in serious danger more than once.
role	A2	A2	roles	former	act2-speech-0555	But, Sergeant, I understood that we were each to repeat our former roles.
round	A2/B2	A2/B2	round		act2-speech-0239	Then why shouldn't he tell me he did? Why pretend he'd been driving all round the countryside?
run	A2	A1/A2	ran, run	run away	act2-speech-0204	We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother..
running	A2	A2	running	run around with | run around with someone | run away | run away from something	act2-speech-0191	Never mind him. Listen, Christopher, you can't go on ― running away from things ― all your life.
