word	cefr	allOxfordLevels	surfaceForms	matchedSpeeches	uncoveredSpeeches	coveringLemmas	firstSpeechId	firstContext
it	B1	A1/B1	it, it's	121	106	come out with something | depend on how one looks at it | draw out | hook it | it doesn’t matter | make it | means of checking | out with it | pick out a tune | put it quite clearly | put something out of one's mind | see to it that | stick it out | trap	act2-speech-0060	With one finger so...And then I hear the radio ― playing very loud ― someone is shouting on it. It offended my ears. And after that ― suddenly ― I hear Mrs. Ralston scream.
killing	B1	B1	killing	1	1		act2-speech-0083	We're not engaged in antiquarian research, Major Metcalf. We're investigating a murder. Mrs. Ralston has told us that she heard a door shut with a faint creak. That particular door shuts with a creak. It could 
knife	A2	A2	knife	1	0	carving knife	act2-speech-0379	But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow
last	A2	A1/A2	last	6	5	the last thing in	act2-speech-0410	One or two. Where were you coming from last night?
later	A2	A1/A2	later	2	2		act2-speech-0087	It's usual. But all criminals slip up sooner or later.
lead	A2/B1	A2/B1	leads	1	1		act2-speech-0092	Mr. Ralston! Thank you. We've got to establish opportunity, you know, as well as motive. And now let me tell you this ― you all had opportunity. There are two staircases ― anyone could go up by one and come dow
leave	B2	A1/B2	leave, left	5	5		act2-speech-0258	So am I. I'm not going to leave you here alone with her.
like	B1	A1/B1	like	12	12		act2-speech-0058	No, no, Inspector ― I beg your pardon ― Sergeant, I would not do a thing like that.
line	B2	A1/B2	line	2	1	line of business	act2-speech-0113	No, Mrs. Ralston, the line was deliberately cut. It was cut just outside by the front door. I found the place.
link	A2	A2	links	1	1		act2-speech-0111	We don't actually know a thing. All we've got so far is that the woman who joined with her husband in ill-treating and starving those children has been killed, and that the woman magistrate who was responsible 
little	A2	A1/A2	little	13	10	Little Bo Peep | a bit of goods | gay	act2-speech-0173	Only thirty miles from London, aren't you? Oh, you got an ABC? Only an hour by train ― a little longer by car.
live	B1	A1/B1	lived	1	1		act2-speech-0465	My bank will reassure you as to my financial position. I can also refer you to a solicitor ― a very discreet man. I am not in a position to offer you a social reference. I have lived most of my life abroad.
lost	A2	A2	lost	1	1		act2-speech-0503	Yes, Sergeant? What can I do for you? Little Bo Policeman has lost his skis and doesn't know where to find them. Leave them alone, and they'll come home, dragging a murderer behind them.
make	B2	A1/B2	made, make	9	7	make it | make someone out	act2-speech-0160	Yes ― but oh, you make it sound all wrong. His father was a barrister and his mother died when he was a baby.
making	B2	B2	making	2	1	make something up	act2-speech-0057	Who was whistling Three Blind Mice? Are you making this up, Mr. Paravicini?
manage	A2	A2	managed	1	1		act2-speech-0581	It's true, isn't it, that Jimmy, the child who died, managed to get a letter posted to you? The letter begged for help ― help from his kind young teacher. You never answered that letter.
may	A2	A1/A2	may	13	13		act2-speech-0112	You don't even know that. It may have been just the snow.
middle	A2	A2	middle	3	1	middle-aged	act2-speech-0132	So the murderer may be middle-aged, or even old. When I said the police had rung up, Major Metcalf was frightfully upset. He really was. I saw his face.
mine	A2/B1	A2/B1	mine	1	1		act2-speech-0086	Mine are there all right. But most criminals are careful to wear gloves, aren't they?
minute	C1	A1/C1	minute, minutes	6	6		act2-speech-0103	Wait, Giles, wait. Sergeant Trotter, can I ― can I speak to you a minute?
mixed	B2	B2	mixed	2	0	be mixed up in | mixed up in	act2-speech-0420	Enjoying this little game, aren't you? Sure of yourself, too. But I shouldn't be too sure. You're mixed up in a murder case, and don't you forget it. Murder isn't just fun and games.
