word	cefr	allOxfordLevels	surfaceForms	firstSpeechId	firstContext
say	C1	A1/C1	said, say, saying, says	act2-speech-0069	You say you were writing letters when you heard Mrs. Ralston scream?
second	A2	A1/A2	second	act2-speech-0523	No, but supposing everyone was to go through these actions a second time.
sense	A2/B2	A2/B2	sense	act2-speech-0421	Not even this murder? Dear me, you're very serious, Sergeant Trotter. I always have thought policemen have no sense of humour. Is the inquisition over ― for the moment?
service	A2	A2	service	act2-speech-0204	We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother...
set	B1	B1	set	act2-speech-0277	You're being absolutely ridiculous. I never set eyes on Christopher Wren until he arrived yesterday.
settle	B2	B2	settle	act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parents killed ― no relations. There
shout	A2	A2	shouting	act2-speech-0060	With one finger so...And then I hear the radio ― playing very loud ― someone is shouting on it. It offended my ears. And after that ― suddenly ― I hear Mrs. Ralston scream.
side	A2	A2	side	act2-speech-0287	Whilst you were racing round the country-side...
smell	A2	A2	smell	act2-speech-0637	Mrs. Ralston! Mrs. Ralston! There's a terrible smell of burning coming from the kitchen.
smoke	A2	A2	smoke	act2-speech-0627	You will smoke them?
social	A2	A2	social	act2-speech-0465	My bank will reassure you as to my financial position. I can also refer you to a solicitor ― a very discreet man. I am not in a position to offer you a social reference. I have lived most of my life abroad.
soldier	A2	A2	soldier	act2-speech-0134	Middle-aged. A soldier. He seems quite nice and perfectly normal ― but it mightn't show, might it?
sometime	B2	B2	sometimes	act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parents killed ― no relations. There
sort	A2/B1	A2/B1	sort	act2-speech-0168	That's not true. I know everything about him! I know exactly the sort of person he is. He's Giles. And it's absolutely absurd to suggest that he's some horrible crazy homicidal maniac. Why, he wasn't even in London yesterday when the murder took place.
sound	C1	A1/C1	sound, sounds	act2-speech-0140	I know he seems quite old ― and foreign and everything, but he mightn't really be as old as he looks. He moves like a much younger man, and he's definitely got makeup on his face. Miss Casewell noticed it, too. He might be ― oh, I know it sounds very melodrama
spell	C1	A1/C1	spell	act2-speech-0435	I spell it with a "K."
spot	B1/B2	B1/B2	spot	act2-speech-0596	Yes, Spot and Plain.
